date,year,month,business,restricted_economy,best_discount
2006-07-01,2006,7,99.33417561109326,92.84390008475617,91.39626571898252
2006-08-01,2006,8,99.72607365673501,92.75022802213863,91.56899002250864
2006-09-01,2006,9,100.31283123151165,92.6777595420568,99.48542643564694
2006-10-01,2006,10,100.39471026062749,90.92308012715172,93.83878295966065
2006-11-01,2006,11,103.17104230348919,93.8213273124139,92.59563502978632
2006-12-01,2006,12,103.17104230348919,93.6623226941385,111.39641279618475
2007-01-01,2007,1,103.2914027294881,95.93846298025879,85.34084436812812
2007-02-01,2007,2,102.62406368865125,95.6870033987251,86.70631802251009
2007-03-01,2007,3,102.62406368865125,95.62503899925473,95.28664753263551
2007-04-01,2007,4,101.38814967326384,94.83714478253398,75.11171842110492
2007-05-01,2007,5,101.21636630483188,95.77976087884522,81.51039157367599
2007-06-01,2007,6,104.13075001845237,95.73487383671505,92.34322733275086
2007-07-01,2007,7,103.58659163411195,95.370800524862,93.89445322222213
2007-08-01,2007,8,107.41466845910804,95.74996379031028,90.08183897008193
2007-09-01,2007,9,107.41466845910804,103.67748883190835,105.17596989837699
2007-10-01,2007,10,106.27481843800615,104.60757039095535,96.28504973918363
2007-11-01,2007,11,102.14905036096914,97.08332738165603,84.46530870336856
2007-12-01,2007,12,102.60526615817103,98.39651620483076,115.21530942256145
2008-01-01,2008,1,100.86823389051263,97.512619415502,79.10838047380962
2008-02-01,2008,2,100.86823389051263,96.9966129800751,77.47018118414971
2008-03-01,2008,3,100.86823389051263,96.5907367128341,73.0900760924115
2008-04-01,2008,4,99.4627470187132,95.32143963383326,84.48837332808283
2008-05-01,2008,5,99.45698002600673,96.1429009664244,74.5333390499863
2008-06-01,2008,6,103.52082737256883,98.93464352989079,84.69292015181445
2008-07-01,2008,7,108.08917325715446,101.15948261336385,82.15856579497444
2008-08-01,2008,8,109.67289460438423,101.13123731215832,75.05210288359527
2008-09-01,2008,9,109.71875644410396,101.12118256458497,84.61526998472942
2008-10-01,2008,10,110.04411320470678,101.83610967363798,69.3206850214697
2008-11-01,2008,11,107.3517098916942,101.38767019225237,71.58752775958455
2008-12-01,2008,12,106.73632488008124,101.04583121200113,87.45892587946285
2009-01-01,2009,1,104.05209218117658,97.28268930038146,57.08175227280646
2009-02-01,2009,2,104.05209218117658,97.22441982749623,62.52406296426821
2009-03-01,2009,3,104.6121210164667,99.17226927956109,90.33057501740704
2009-04-01,2009,4,103.6811359635281,95.54513317484509,60.51443127482156
2009-05-01,2009,5,103.68837415673205,95.55218786909971,70.22499790348975
