date,year,month,fare_class,index_value
2014-05-01,2014,5,Business,71.65042115407128
2014-06-01,2014,6,Business,92.36561107772604
2014-07-01,2014,7,Business,89.99202934020491
2014-08-01,2014,8,Business,91.99495117064122
2014-09-01,2014,9,Business,85.71591108668142
2014-10-01,2014,10,Business,86.87129292306636
2014-11-01,2014,11,Business,88.17143850264816
2014-12-01,2014,12,Business,89.59687728685365
2015-01-01,2015,1,Business,89.17421150373556
2015-02-01,2015,2,Business,88.99465265583905
2015-03-01,2015,3,Business,89.15136301920876
2015-04-01,2015,4,Business,89.99564275767021
2015-05-01,2015,5,Business,90.23448913183724
2015-06-01,2015,6,Business,90.8201085907458
2015-07-01,2015,7,Business,90.05217179228555
2015-08-01,2015,8,Business,89.85238201324427
2015-09-01,2015,9,Business,90.0349218781884
2015-10-01,2015,10,Business,89.72035001517672
2015-11-01,2015,11,Business,91.15176645150817
2015-12-01,2015,12,Business,91.59885998033046
2016-01-01,2016,1,Business,94.52613005047574
2016-02-01,2016,2,Business,94.98301058041234
2016-03-01,2016,3,Business,95.09761000365197
2016-04-01,2016,4,Business,94.47000168720172
2016-05-01,2016,5,Business,94.50087338413203
2016-06-01,2016,6,Business,95.2854691525992
2016-07-01,2016,7,Business,94.213615764727
2016-08-01,2016,8,Business,94.42345276640287
2016-09-01,2016,9,Business,94.91457649990788
2016-10-01,2016,10,Business,93.9340966311612
2016-11-01,2016,11,Business,94.27086189917368
2016-12-01,2016,12,Business,96.97945380472
2017-01-01,2017,1,Business,94.15472703510784
2017-02-01,2017,2,Business,94.1842262568207
2017-03-01,2017,3,Business,95.32746771284448
2017-04-01,2017,4,Business,94.16668058964112
2017-05-01,2017,5,Business,96.37518173075289
2017-06-01,2017,6,Business,95.49598557270592
2017-07-01,2017,7,Business,94.85013666720496
2017-08-01,2017,8,Business,92.64052853644438
2017-09-01,2017,9,Business,95.21887985112556
2017-10-01,2017,10,Business,94.5501638046889
2017-11-01,2017,11,Business,94.69344399575682
2017-12-01,2017,12,Business,94.21272387198212
2018-01-01,2018,1,Business,93.06384560139854
2018-02-01,2018,2,Business,93.60430431088004
2018-03-01,2018,3,Business,94.03721078458231
2018-04-01,2018,4,Business,93.90842816887609
2018-05-01,2018,5,Business,94.0078560344502
2018-06-01,2018,6,Business,94.22851249223297
2018-07-01,2018,7,Business,93.96076953959016
2018-08-01,2018,8,Business,93.23539832820047
2018-09-01,2018,9,Business,93.2498712441
2018-10-01,2018,10,Business,93.13899729469831
2018-11-01,2018,11,Business,92.99060342175645
2018-12-01,2018,12,Business,92.28707545220828
2019-01-01,2019,1,Business,89.36260787976411
2019-02-01,2019,2,Business,89.88405475106576
2019-03-01,2019,3,Business,91.43714456406076
2019-04-01,2019,4,Business,84.76883296320997
2019-05-01,2019,5,Business,83.92832430254452
2019-06-01,2019,6,Business,83.71431810787185
2019-07-01,2019,7,Business,83.0911502633407
2019-08-01,2019,8,Business,72.25928921878887
2019-09-01,2019,9,Business,83.59322750831649
2019-10-01,2019,10,Business,83.00220367694924
2019-11-01,2019,11,Business,82.14405856076165
2019-12-01,2019,12,Business,81.2959495516132
2020-01-01,2020,1,Business,81.90238995124442
2020-02-01,2020,2,Business,79.31018157377545
2020-03-01,2020,3,Business,81.80759949822136
2020-04-01,2020,4,Business,100.30597645583865
2020-05-01,2020,5,Business,90.59213764389736
2020-06-01,2020,6,Business,91.40794347085011
2020-07-01,2020,7,Business,83.45035018856976
2020-08-01,2020,8,Business,96.6841976521848
2020-09-01,2020,9,Business,89.23698949826608
2020-10-01,2020,10,Business,91.86312168498094
2020-11-01,2020,11,Business,77.45874691489794
2020-12-01,2020,12,Business,70.11197732337925
2021-01-01,2021,1,Business,70.11397508605306
2021-02-01,2021,2,Business,70.11397508605306
2021-03-01,2021,3,Business,70.74520416120929
2021-04-01,2021,4,Business,65.27786232189247
2021-05-01,2021,5,Business,64.64737466127802
2021-06-01,2021,6,Business,64.68562539307452
2021-07-01,2021,7,Business,48.29049745397187
2021-08-01,2021,8,Business,47.01582200917303
2021-09-01,2021,9,Business,53.57590253578239
2021-10-01,2021,10,Business,44.26951851678041
2021-11-01,2021,11,Business,48.6657220457132
2021-12-01,2021,12,Business,39.844028109966565
2022-01-01,2022,1,Business,54.57907425548859
2022-02-01,2022,2,Business,55.02335649262309
2022-03-01,2022,3,Business,46.1430864191759
2022-04-01,2022,4,Business,46.53038880097
2022-05-01,2022,5,Business,46.04139669866854
2022-06-01,2022,6,Business,46.91275014755258
2022-07-01,2022,7,Business,51.20138518625378
2022-08-01,2022,8,Business,54.49984552619186
2022-09-01,2022,9,Business,68.0010698025899
2022-10-01,2022,10,Business,57.61333901655206
2022-11-01,2022,11,Business,61.89060589914849
2022-12-01,2022,12,Business,62.03949248611589
2023-01-01,2023,1,Business,56.85440527967482
2023-02-01,2023,2,Business,58.35055873682917
2023-03-01,2023,3,Business,60.629310963225
2023-04-01,2023,4,Business,61.871632780079686
2023-05-01,2023,5,Business,54.82872273073396
2023-06-01,2023,6,Business,59.11344467971728
2023-07-01,2023,7,Business,57.164888873604
2023-08-01,2023,8,Business,57.45007668641653
2023-09-01,2023,9,Business,52.06650036601329
2023-10-01,2023,10,Business,51.67388781965147
2023-11-01,2023,11,Business,52.75574424279725
2023-12-01,2023,12,Business,56.95665555636815
2024-01-01,2024,1,Business,53.469125911718656
2024-02-01,2024,2,Business,53.268471329709946
2024-03-01,2024,3,Business,53.67855354412701
2024-04-01,2024,4,Business,58.26679202435643
2024-05-01,2024,5,Business,61.242497861914416
2024-06-01,2024,6,Business,61.71631696837361
2024-07-01,2024,7,Business,62.83855909927409
2024-08-01,2024,8,Business,64.21712245338381
2024-09-01,2024,9,Business,64.1525674612193
2024-10-01,2024,10,Business,69.71080677929828
2024-11-01,2024,11,Business,58.55747844865333
2024-12-01,2024,12,Business,51.97183278039573
2025-01-01,2025,1,Business,43.839204233827616
2025-02-01,2025,2,Business,50.17173991735476
2025-03-01,2025,3,Business,54.95131021462042
2025-04-01,2025,4,Business,53.42161534947919
2025-05-01,2025,5,Business,50.20959360464512
2025-06-01,2025,6,Business,51.08643263467952
2025-07-01,2025,7,Business,53.40920970998584
2025-08-01,2025,8,Business,52.02561976031735
2025-09-01,2025,9,Business,59.20751933012678
2025-10-01,2025,10,Business,56.95797200148547
2025-11-01,2025,11,Business,50.89004096158096
2025-12-01,2025,12,Business,51.02236842451373
2026-01-01,2026,1,Business,48.51889265247406
2026-02-01,2026,2,Business,49.44203577212162
2026-03-01,2026,3,Business,52.32610179441955
2026-04-01,2026,4,Business,51.61976375340506
2026-05-01,2026,5,Business,52.070115897067424
2002-03-01,2002,3,Restricted Economy,107.04442717162684
2002-04-01,2002,4,Restricted Economy,108.46640548153312
2002-05-01,2002,5,Restricted Economy,105.0320123133414
2002-06-01,2002,6,Restricted Economy,104.84238728061256
2002-07-01,2002,7,Restricted Economy,106.13202959984656
2002-08-01,2002,8,Restricted Economy,104.42007347947836
2002-09-01,2002,9,Restricted Economy,104.48243401867204
2002-10-01,2002,10,Restricted Economy,105.04901475161476
2002-11-01,2002,11,Restricted Economy,104.9382917221857
2002-12-01,2002,12,Restricted Economy,104.78638131418636
2003-01-01,2003,1,Restricted Economy,103.93560359678762
2003-02-01,2003,2,Restricted Economy,103.94105899103636
2003-03-01,2003,3,Restricted Economy,103.3351866611333
