year,month_num,pax_millions
2015,6.0,4.460673
2015,7.0,5.143531
2015,8.0,4.794584
2015,9.0,4.895654
2015,10.0,5.188083
2015,11.0,4.945101
2015,12.0,5.053373
2016,1.0,4.815221
2016,2.0,4.463273
2016,3.0,4.974006
2016,4.0,4.839379
2016,5.0,4.665257
2016,6.0,4.607153
2016,7.0,5.185501
2016,8.0,4.885417
2016,9.0,5.05828
2016,10.0,5.238231
2016,11.0,5.048164
2016,12.0,5.133327
2017,1.0,4.967729
2017,2.0,4.349249
2017,3.0,4.998893
2017,4.0,4.933591
2017,5.0,4.73864
2017,6.0,4.687625
2017,7.0,5.295567
2017,8.0,4.973262
2017,9.0,5.06265
2017,10.0,5.410006
2017,11.0,5.20832
2017,12.0,5.233729
2018,1.0,5.06676
2018,2.0,4.526149
2018,3.0,5.216125
2018,4.0,5.06415
2018,5.0,4.8505
2018,6.0,4.702536
2018,7.0,5.425367
2018,8.0,5.18157
2018,9.0,5.172472
2018,10.0,5.632415
2018,11.0,5.21394
2018,12.0,5.124875
2019,1.0,5.050078
2019,2.0,4.484814
2019,3.0,5.046485
2019,4.0,5.135744
2019,5.0,4.872949
2019,7.0,5.439053
2019,8.0,5.18157
2019,9.0,5.172472
2019,10.0,5.632415
2019,11.0,5.23515
2019,12.0,5.238595
2020,1.0,5.074506
2020,2.0,4.349135
2020,3.0,3.060887
2020,4.0,0.145468
2020,5.0,0.175704
2020,7.0,0.732986
2020,8.0,0.579802
2020,9.0,0.699714
2020,10.0,0.909374
2020,11.0,1.107068
2020,12.0,2.178128
2021,1.0,1.649907
2021,2.0,1.62412
2021,3.0,2.800293
2021,4.0,3.52938
2021,5.0,3.39087
2021,6.0,2.354655
2021,7.0,1.349665
2021,8.0,0.73107
2021,9.0,0.997815
2021,10.0,1.052069
2021,11.0,1.516272
2021,12.0,2.534539
2022,1.0,2.538746
2022,2.0,2.421885
2022,3.0,3.582387
2022,4.0,4.639827
2022,5.0,4.343698
2022,6.0,4.504431
2022,7.0,4.796882
2022,8.0,4.44064
2022,9.0,4.657964
2022,10.0,4.83091
2022,11.0,4.646271
2022,12.0,4.545884
2023,1.0,4.482591
2023,2.0,3.9876
2023,3.0,4.812878
2023,4.0,4.686082
2023,5.0,4.618624
2023,6.0,4.573277
2023,7.0,4.988743
2023,8.0,4.872879
2023,9.0,4.966688
2023,10.0,5.170978
2023,11.0,5.025546
2023,12.0,4.887102
2024,1.0,4.776426
2024,2.0,4.550983
2024,3.0,4.955691
2024,4.0,4.907713
2024,5.0,4.72374
2024,6.0,4.57933
2024,7.0,5.134146
2024,8.0,4.940942
2024,9.0,5.004472
2024,10.0,5.359766
2024,11.0,5.074967
2024,12.0,5.072195
2025,1.0,5.067623
2025,2.0,4.329634
2025,3.0,4.722849
2025,4.0,5.058203
2025,5.0,4.80901
2025,6.0,4.671429
2025,7.0,5.317379
2025,8.0,5.031063
2025,9.0,5.092677
2025,10.0,5.540874
2025,11.0,5.169223
2025,12.0,5.27004
2026,1.0,5.025944
2026,2.0,4.389713
2026,3.0,5.089262
